comuna;candidato;votos;porcentaje;total_votos;mesas_escrutadas;mesas_totales;orden;mesas_porcentaje;partido;sector
LA FLORIDA;Evelyn Matthei Fornet;9755;0,16111982822693863;60545;175;796;7;0,2198492462311558;Ninguno;Ninguno
LA FLORIDA;Harold Mayne-Nicholls Secul;1060;0,01750763894623834;60545;175;796;8;0,2198492462311558;Ninguno;Ninguno
LA FLORIDA;Nulo/Blanco;1996;0,03296721446857709;60545;175;796;99;0,2198492462311558;Ninguno;Ninguno
LA GRANJA;Franco Parisi Fernández;3302;0,17551692978259714;18813;57;251;1;0,2270916334661355;Ninguno;Ninguno
LA GRANJA;Jeannette Jara Román;6665;0,35427629830436402;18813;57;251;2;0,2270916334661355;Ninguno;Ninguno
LA GRANJA;Marco Antonio Enríquez-Ominami Gumucio;262;0,01392654015840111;18813;57;251;3;0,2270916334661355;Ninguno;Ninguno
LA GRANJA;Johannes Kaiser Barents-Von Hohenhagen;2210;0,11747196087811619;18813;57;251;4;0,2270916334661355;Ninguno;Ninguno
LA GRANJA;José Antonio Kast Rist;3234;0,17190240790942432;18813;57;251;5;0,2270916334661355;Ninguno;Ninguno
LA GRANJA;Eduardo Antonio Artés Brichetti;153;0,00813267421463881;18813;57;251;6;0,2270916334661355;Ninguno;Ninguno
LA GRANJA;Evelyn Matthei Fornet;1846;0,09812363790995589;18813;57;251;7;0,2270916334661355;Ninguno;Ninguno
LA GRANJA;Harold Mayne-Nicholls Secul;227;0,01206612448838569;18813;57;251;8;0,2270916334661355;Ninguno;Ninguno
LA GRANJA;Nulo/Blanco;914;0,04858342635411683;18813;57;251;99;0,2270916334661355;Ninguno;Ninguno
LA PINTANA;Franco Parisi Fernández;1637;0,24713164251207728;6624;21;348;1;0,0603448275862069;Ninguno;Ninguno
LA PINTANA;Jeannette Jara Román;1943;0,29332729468599034;6624;21;348;2;0,0603448275862069;Ninguno;Ninguno
LA PINTANA;Marco Antonio Enríquez-Ominami Gumucio;114;0,01721014492753623;6624;21;348;3;0,0603448275862069;Ninguno;Ninguno
LA PINTANA;Johannes Kaiser Barents-Von Hohenhagen;720;0,10869565217391304;6624;21;348;4;0,0603448275862069;Ninguno;Ninguno
LA PINTANA;José Antonio Kast Rist;1247;0,18825483091787440;6624;21;348;5;0,0603448275862069;Ninguno;Ninguno
LA PINTANA;Eduardo Antonio Artés Brichetti;49;0,00739734299516908;6624;21;348;6;0,0603448275862069;Ninguno;Ninguno
LA PINTANA;Evelyn Matthei Fornet;558;0,08423913043478261;6624;21;348;7;0,0603448275862069;Ninguno;Ninguno
LA PINTANA;Harold Mayne-Nicholls Secul;59;0,00890700483091787;6624;21;348;8;0,0603448275862069;Ninguno;Ninguno
LA PINTANA;Nulo/Blanco;297;0,04483695652173913;6624;21;348;99;0,0603448275862069;Ninguno;Ninguno
LA REINA;Franco Parisi Fernández;436;0,02638266973254266;16526;51;229;1;0,2227074235807860;Ninguno;Ninguno
LA REINA;Jeannette Jara Román;4354;0,26346363306305215;16526;51;229;2;0,2227074235807860;Ninguno;Ninguno
LA REINA;Marco Antonio Enríquez-Ominami Gumucio;103;0,00623260317076122;16526;51;229;3;0,2227074235807860;Ninguno;Ninguno
LA REINA;Johannes Kaiser Barents-Von Hohenhagen;1969;0,11914558876921215;16526;51;229;4;0,2227074235807860;Ninguno;Ninguno
LA REINA;José Antonio Kast Rist;3524;0,21323974343458793;16526;51;229;5;0,2227074235807860;Ninguno;Ninguno
LA REINA;Eduardo Antonio Artés Brichetti;121;0,00732179595788455;16526;51;229;6;0,2227074235807860;Ninguno;Ninguno
LA REINA;Evelyn Matthei Fornet;5278;0,31937552946871595;16526;51;229;7;0,2227074235807860;Ninguno;Ninguno
LA REINA;Harold Mayne-Nicholls Secul;366;0,02214692000484086;16526;51;229;8;0,2227074235807860;Ninguno;Ninguno
LA REINA;Nulo/Blanco;375;0,02269151639840252;16526;51;229;99;0,2227074235807860;Ninguno;Ninguno
LAMPA;Franco Parisi Fernández;2452;0,20090126997132324;12205;36;204;1;0,1764705882352941;Ninguno;Ninguno
LAMPA;Jeannette Jara Román;2817;0,23080704629250307;12205;36;204;2;0,1764705882352941;Ninguno;Ninguno
LAMPA;Marco Antonio Enríquez-Ominami Gumucio;171;0,01401065137238837;12205;36;204;3;0,1764705882352941;Ninguno;Ninguno
LAMPA;Johannes Kaiser Barents-Von Hohenhagen;1528;0,12519459238017205;12205;36;204;4;0,1764705882352941;Ninguno;Ninguno
LAMPA;José Antonio Kast Rist;3049;0,24981564932404751;12205;36;204;5;0,1764705882352941;Ninguno;Ninguno
LAMPA;Eduardo Antonio Artés Brichetti;57;0,00467021712412945;12205;36;204;6;0,1764705882352941;Ninguno;Ninguno
LAMPA;Evelyn Matthei Fornet;1584;0,12978287587054485;12205;36;204;7;0,1764705882352941;Ninguno;Ninguno
LAMPA;Harold Mayne-Nicholls Secul;159;0,01302744776730848;12205;36;204;8;0,1764705882352941;Ninguno;Ninguno
LAMPA;Nulo/Blanco;388;0,03179024989758296;12205;36;204;99;0,1764705882352941;Ninguno;Ninguno
LAS CONDES;Franco Parisi Fernández;1860;0,02307577787702843;80604;262;720;1;0,3638888888888889;Ninguno;Ninguno
LAS CONDES;Jeannette Jara Román;9852;0,12222718475509900;80604;262;720;2;0,3638888888888889;Ninguno;Ninguno
LAS CONDES;Marco Antonio Enríquez-Ominami Gumucio;310;0,00384596297950474;80604;262;720;3;0,3638888888888889;Ninguno;Ninguno
LAS CONDES;Johannes Kaiser Barents-Von Hohenhagen;10955;0,13591136916282071;80604;262;720;4;0,3638888888888889;Ninguno;Ninguno
LAS CONDES;José Antonio Kast Rist;25939;0,32180785072701107;80604;262;720;5;0,3638888888888889;Ninguno;Ninguno
LAS CONDES;Eduardo Antonio Artés Brichetti;248;0,00307677038360379;80604;262;720;6;0,3638888888888889;Ninguno;Ninguno
LAS CONDES;Evelyn Matthei Fornet;29067;0,36061485782343305;80604;262;720;7;0,3638888888888889;Ninguno;Ninguno
LAS CONDES;Harold Mayne-Nicholls Secul;1075;0,01333680710634708;80604;262;720;8;0,3638888888888889;Ninguno;Ninguno
LAS CONDES;Nulo/Blanco;1298;0,01610341918515210;80604;262;720;99;0,3638888888888889;Ninguno;Ninguno
LO BARNECHEA;Franco Parisi Fernández;1272;0,04987257400509704;25505;77;235;1;0,3276595744680851;Ninguno;Ninguno
LO BARNECHEA;Jeannette Jara Román;2428;0,09519702019211919;25505;77;235;2;0,3276595744680851;Ninguno;Ninguno
LO BARNECHEA;Marco Antonio Enríquez-Ominami Gumucio;121;0,00474416781023329;25505;77;235;3;0,3276595744680851;Ninguno;Ninguno
LO BARNECHEA;Johannes Kaiser Barents-Von Hohenhagen;3012;0,11809449127622035;25505;77;235;4;0,3276595744680851;Ninguno;Ninguno
LO BARNECHEA;José Antonio Kast Rist;10190;0,39952950401881981;25505;77;235;5;0,3276595744680851;Ninguno;Ninguno
LO BARNECHEA;Eduardo Antonio Artés Brichetti;73;0,00286218388551264;25505;77;235;6;0,3276595744680851;Ninguno;Ninguno
LO BARNECHEA;Evelyn Matthei Fornet;7784;0,30519505979219763;25505;77;235;7;0,3276595744680851;Ninguno;Ninguno
LO BARNECHEA;Harold Mayne-Nicholls Secul;176;0,00690060772397569;25505;77;235;8;0,3276595744680851;Ninguno;Ninguno
LO BARNECHEA;Nulo/Blanco;449;0,01760439129582435;25505;77;235;99;0,3276595744680851;Ninguno;Ninguno
LO ESPEJO;Franco Parisi Fernández;1428;0,20795107033639143;6867;21;212;1;0,0990566037735849;Ninguno;Ninguno
LO ESPEJO;Jeannette Jara Román;2422;0,35270132517838942;6867;21;212;2;0,0990566037735849;Ninguno;Ninguno
LO ESPEJO;Marco Antonio Enríquez-Ominami Gumucio;108;0,01572739187418086;6867;21;212;3;0,0990566037735849;Ninguno;Ninguno
LO ESPEJO;Johannes Kaiser Barents-Von Hohenhagen;716;0,10426678316586574;6867;21;212;4;0,0990566037735849;Ninguno;Ninguno
LO ESPEJO;José Antonio Kast Rist;1197;0,17431192660550460;6867;21;212;5;0,0990566037735849;Ninguno;Ninguno
LO ESPEJO;Eduardo Antonio Artés Brichetti;37;0,00538808795689530;6867;21;212;6;0,0990566037735849;Ninguno;Ninguno
LO ESPEJO;Evelyn Matthei Fornet;555;0,08082131935342944;6867;21;212;7;0,0990566037735849;Ninguno;Ninguno
LO ESPEJO;Harold Mayne-Nicholls Secul;76;0,01106742391146061;6867;21;212;8;0,0990566037735849;Ninguno;Ninguno
LO ESPEJO;Nulo/Blanco;328;0,04776467161788263;6867;21;212;99;0,0990566037735849;Ninguno;Ninguno
LO PRADO;Franco Parisi Fernández;1757;0,15327575678269215;11463;35;210;1;0,1666666666666667;Ninguno;Ninguno
LO PRADO;Jeannette Jara Román;4009;0,34973392654627933;11463;35;210;2;0,1666666666666667;Ninguno;Ninguno
LO PRADO;Marco Antonio Enríquez-Ominami Gumucio;175;0,01526650963971037;11463;35;210;3;0,1666666666666667;Ninguno;Ninguno
LO PRADO;Johannes Kaiser Barents-Von Hohenhagen;1433;0,12501090464974265;11463;35;210;4;0,1666666666666667;Ninguno;Ninguno
LO PRADO;José Antonio Kast Rist;1981;0,17281688912152141;11463;35;210;5;0,1666666666666667;Ninguno;Ninguno
