comuna;candidato;partido;sector;lista;votos;porcentaje;total_votos;mesas_escrutadas;mesas_totales;mesas_porcentaje
PUENTE ALTO;Claudio Orrego Larraín;IND;Centro;CANDIDATURAS INDEPENDIENTES;204030;0,5603418681357916;364117;1064;1073;0,991612301957130
PUENTE ALTO;Francisco Orrego Gutiérrez;RN;Derecha;CHILE VAMOS;129484;0,3556109711988180;364117;1064;1073;0,991612301957130
PUENTE ALTO;Nulo/Blanco;;Otros;NA;30603;0,0840471606653905;364117;1064;1073;0,991612301957130
QUILICURA;Claudio Orrego Larraín;IND;Centro;CANDIDATURAS INDEPENDIENTES;69359;0,5302594761547988;130802;386;388;0,994845360824742
QUILICURA;Francisco Orrego Gutiérrez;RN;Derecha;CHILE VAMOS;50405;0,3853534349627681;130802;386;388;0,994845360824742
QUILICURA;Nulo/Blanco;;Otros;NA;11038;0,0843870888824330;130802;386;388;0,994845360824742
QUINTA NORMAL;Claudio Orrego Larraín;IND;Centro;CANDIDATURAS INDEPENDIENTES;42207;0,5259439252336449;80250;258;261;0,988505747126437
QUINTA NORMAL;Francisco Orrego Gutiérrez;RN;Derecha;CHILE VAMOS;31472;0,3921744548286604;80250;258;261;0,988505747126437
QUINTA NORMAL;Nulo/Blanco;;Otros;NA;6571;0,0818816199376947;80250;258;261;0,988505747126437
RECOLETA;Claudio Orrego Larraín;IND;Centro;CANDIDATURAS INDEPENDIENTES;54148;0,5172420380948742;104686;339;351;0,965811965811966
RECOLETA;Francisco Orrego Gutiérrez;RN;Derecha;CHILE VAMOS;40907;0,3907590317712015;104686;339;351;0,965811965811966
RECOLETA;Nulo/Blanco;;Otros;NA;9631;0,0919989301339243;104686;339;351;0,965811965811966
RENCA;Claudio Orrego Larraín;IND;Centro;CANDIDATURAS INDEPENDIENTES;54064;0,5611325611325612;96348;288;290;0,993103448275862
RENCA;Francisco Orrego Gutiérrez;RN;Derecha;CHILE VAMOS;33784;0,3506455764520280;96348;288;290;0,993103448275862
RENCA;Nulo/Blanco;;Otros;NA;8500;0,0882218624154108;96348;288;290;0,993103448275862
SAN BERNARDO;Claudio Orrego Larraín;IND;Centro;CANDIDATURAS INDEPENDIENTES;96293;0,4951255129009369;194482;582;587;0,991482112436116
SAN BERNARDO;Francisco Orrego Gutiérrez;RN;Derecha;CHILE VAMOS;78447;0,4033638074474759;194482;582;587;0,991482112436116
SAN BERNARDO;Nulo/Blanco;;Otros;NA;19742;0,1015106796515873;194482;582;587;0,991482112436116
SAN JOAQUIN;Claudio Orrego Larraín;IND;Centro;CANDIDATURAS INDEPENDIENTES;38676;0,5764535793599929;67093;207;207;1,000000000000000
SAN JOAQUIN;Francisco Orrego Gutiérrez;RN;Derecha;CHILE VAMOS;23013;0,3430015053731388;67093;207;207;1,000000000000000
SAN JOAQUIN;Nulo/Blanco;;Otros;NA;5404;0,0805449152668684;67093;207;207;1,000000000000000
SAN JOSE DE MAIPO;Claudio Orrego Larraín;IND;Centro;CANDIDATURAS INDEPENDIENTES;8028;0,6023861334133713;13327;41;42;0,976190476190476
SAN JOSE DE MAIPO;Francisco Orrego Gutiérrez;RN;Derecha;CHILE VAMOS;4296;0,3223531177309222;13327;41;42;0,976190476190476
SAN JOSE DE MAIPO;Nulo/Blanco;;Otros;NA;1003;0,0752607488557065;13327;41;42;0,976190476190476
SAN MIGUEL;Claudio Orrego Larraín;IND;Centro;CANDIDATURAS INDEPENDIENTES;45548;0,5235703201333410;86995;291;291;1,000000000000000
SAN MIGUEL;Francisco Orrego Gutiérrez;RN;Derecha;CHILE VAMOS;35953;0,4132766250933962;86995;291;291;1,000000000000000
SAN MIGUEL;Nulo/Blanco;;Otros;NA;5494;0,0631530547732628;86995;291;291;1,000000000000000
